author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),false,"[98,64,9,4,27,39,70,98,3,26,17,82,49,0,88,5]","[1,96,53,71,5,28,42,82,66,20,54,1,69,64,0,0]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[98,64,9,4,27,39,70,98,3,26,17,82,49,0,88,5]","[112.65361680552361,81.32712622431768,3.2122703539790605,15.902863801787074,34.204542289923694,40.01994618405986,62.1949814059103,107.2078992417147,-16.51515667801431,37.78887290963403,15.731368946706711,62.34518778152851,37.348249724877235,-11.285366784895825,82.78765346780884,19.87438652801277]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[98,64,9,4,27,39,70,98,3,26,17,82,49,0,88,5]","[99.25034040162731,77.17037309503131,9.48960231576363,-7.850044002383308,32.8494684120852,29.767919366842865,79.12535160701717,92.41107789562203,-14.46151889671814,29.018956779615976,13.638888799362054,57.11264084238479,52.956200007058385,2.1002184758750606,78.98849094180993,7.946311919383643]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[98,64,9,4,27,39,70,98,3,26,17,82,49,0,88,5]","[100.03594394840641,75.33143955094185,-2.9806706207512725,-4.441120450183474,15.320949686959695,37.10066898093062,53.67499920771107,95.5826941061338,-16.051977911411033,31.36827805439343,18.468166057124886,74.24902793847724,49.64670553239439,-17.96773332972817,105.03543463656051,25.765303416581485]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[98,64,9,4,27,39,70,98,3,26,17,82,49,0,88,5]","[102.91263886829,64.4536942704189,16.999012365223113,2.141198208827455,8.941307734467856,38.698317375744395,61.38674597917642,92.10192536145475,-5.215021217543194,24.03193170391426,14.202616227036273,98.79336186661905,64.52381246143901,8.725601110584657,88.71658706735948,3.580654131918444]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[98,64,9,4,27,39,70,98,3,26,17,82,49,0,88,5]","[100.18510994639264,57.64074243614362,11.230872696023441,-5.384932485385274,24.198780572326523,20.518960545761864,83.00757421131698,113.64476858882972,6.694948882772598,36.71515896816528,18.351633276382838,86.14753101611821,69.81397682656291,-6.472045803871068,73.24864084553307,8.311775526274054]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[98,64,9,4,27,39,70,98,3,26,17,82,49,0,88,5]","[103.8131375371483,56.44223496873383,6.801151278051133,26.269512671308544,38.42401438782028,40.15474843336244,48.198393215310375,92.09473926271804,12.55265069189154,9.041373571362357,15.122128850074787,83.75757091864526,39.72115638504911,-1.820490032410604,93.88408588523967,-11.701789746104666]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[98,64,9,4,27,39,70,98,3,26,17,82,49,0,88,5]","[101.95174834916229,48.786254713919305,18.124390057594024,-5.5813120862683565,29.742213113730195,43.80690639133342,65.54721559555374,80.77379368969392,7.403020485277295,13.259424191588337,20.547223986141493,76.89114288884194,43.113080679482444,-2.244106380763313,94.58068987336826,-17.144106873042574]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[98,64,9,4,27,39,70,98,3,26,17,82,49,0,88,5]","[104.18994417322831,62.44549522458926,14.9910417416854,4.435707456090808,16.943620925075752,23.628735214916865,93.81090453545299,102.6364898842809,-2.448528922347591,7.9725651803611335,13.456540724376708,88.75183288953593,65.03390514033403,-8.877833371997726,69.13289149979053,3.9635336061324846]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[98,64,9,4,27,39,70,98,3,26,17,82,49,0,88,5]","[85.76705507207977,68.80210650927859,14.924900791652533,-3.39009410419294,21.30896084012465,39.490437870641166,69.46984030128118,103.29568265108611,19.375246009065165,26.64932132092278,14.595917151908331,81.67680108199674,72.23543704628294,2.2321275611904996,92.76040353104003,2.648888378616995]"
