author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),false,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[93,38,70,75,89,51,11,29,52,44,79,55,39,99,67,59]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[17.289543762967934,76.62781367563088,52.519601968581625,36.71172269231994,26.462869944144693,97.19616471309942,13.591612013419892,35.07963716831966,54.752954929298994,-10.088850646077653,41.80574671823272,89.19641031123601,41.68762424903556,41.11360011121746,82.30334553936285,7.371478543016382]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[37.00431398986528,104.96750540105612,51.969825161347856,25.49590316094556,20.91329545478746,98.39388863165068,47.259968450133606,38.91517987492291,47.69305849113586,-18.557479498681598,66.65869186619152,87.00155436182682,29.17728339112898,53.01112949816939,98.90450128638777,29.668004866992142]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[44.58156457282894,90.73312524965156,72.41333877679428,40.90966847047352,28.400354508966263,105.50929113816899,13.407257399397132,41.912179822101486,40.56029874350767,11.585830332953591,61.447752211987435,101.26645281609757,26.5589045997377,42.10189951357584,95.67202323535321,20.73328039515722]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[29.18004286176781,101.95373050423615,52.46172328588919,18.864034207956454,13.131346867690368,89.89860640863016,35.93854232153205,50.85342629249734,45.807510420667704,7.915772958907871,46.2353424663086,82.27637693260985,42.09025364930284,58.95053415934757,81.29050770525232,10.143312408834102]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),false,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[13.702361074396528,98.69320840494095,49.07812723487593,19.39821394370143,14.21012543091815,83.59934697644293,25.67023739513166,45.362714982265516,43.336008451806315,14.237862308636025,45.32893509116841,83.82919729698189,33.66623927265051,51.82857908690081,79.7183596294035,27.637038799313785]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[26.5739677994481,105.44312690430294,68.92572262391303,22.779886334843404,11.421918353758457,98.63590259107053,41.12770383357412,45.139628275172925,49.4715269613602,17.61609115479451,46.59612024111578,76.52485499690889,45.12689026993312,58.4815162817463,87.9804360157517,1.2842693515982049]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[25.122974039819937,116.36399064948432,44.573608117406636,36.403564960757436,1.593401660820465,97.70165374571367,3.1940735466493564,30.892835580504894,36.46296972016359,10.816353705609794,40.947852942021235,94.90452245023957,33.12152020215554,50.17145104059926,96.62658642640434,24.32608085764207]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[7.482626100225753,98.86629500219138,77.27219475708651,24.31599143609267,20.903994842734164,97.7663986520534,8.822859622340818,34.91186461840345,49.030538379705455,19.700857159263265,46.78973121818811,89.04085900062115,29.798505289536507,53.47836113629593,106.54197035852218,19.326155135256926]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[16.66061600491751,97.00846000462683,54.750625201105414,27.33101584580631,16.05399414706502,93.13997642642288,23.96917890038346,37.68411296558458,52.485821716354955,-0.6807873003619442,53.92305165602705,89.97622439253406,22.547067501878136,57.84836065643625,71.63542643538523,12.472626675736894]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]","[37.65720792850986,94.42560415092989,54.03705808760825,-0.46541865581429676,15.223445731380313,95.2514341644282,15.712831974069541,47.04006184648832,46.100681626574925,5.066690880405692,47.279533156060644,94.53184317345618,18.300910985204535,47.999097016437155,77.54591780215272,16.47638093599139]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),false,"[27.536761426018277,99.6974804758477,68.74338792087312,34.17708541051342,10.451078627667604,94.64987391200243,26.321454068716484,38.02216082812478,51.18480576172137,3.8769395723057607,44.336681379884055,75.15793986484334,43.00854332714426,44.54847752040797,90.47603372660849,13.434091161419945]","[23,97,58,29,20,93,26,39,46,1,50,92,36,51,83,17]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[27.536761426018277,99.6974804758477,68.74338792087312,34.17708541051342,10.451078627667604,94.64987391200243,26.321454068716484,38.02216082812478,51.18480576172137,3.8769395723057607,44.336681379884055,75.15793986484334,43.00854332714426,44.54847752040797,90.47603372660849,13.434091161419945]","[39.44551229393598,73.31383472968409,67.83972846963272,26.639267506509132,20.714832067137202,121.68048270204682,46.46778844660348,39.29702924583106,37.773867911402185,3.7964304433774383,44.96042111694518,81.00795083025145,51.451333277171244,30.164149513916257,90.0070039072522,16.01644918255403]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[27.536761426018277,99.6974804758477,68.74338792087312,34.17708541051342,10.451078627667604,94.64987391200243,26.321454068716484,38.02216082812478,51.18480576172137,3.8769395723057607,44.336681379884055,75.15793986484334,43.00854332714426,44.54847752040797,90.47603372660849,13.434091161419945]","[29.464179768035194,97.2493633334522,61.84163676705599,33.626217676001836,9.801056874685537,94.17200138396112,20.904016005785643,35.64661983117782,61.46415786062909,-2.6365241816373195,46.76713755740182,77.80968372343861,36.58158705997472,46.042054917315966,83.7617922877989,-14.68156328465295]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[27.536761426018277,99.6974804758477,68.74338792087312,34.17708541051342,10.451078627667604,94.64987391200243,26.321454068716484,38.02216082812478,51.18480576172137,3.8769395723057607,44.336681379884055,75.15793986484334,43.00854332714426,44.54847752040797,90.47603372660849,13.434091161419945]","[26.601678014757418,115.25714663145781,56.5823298838031,48.046292498620275,17.114530401272734,115.71386485708685,12.152456859347588,51.164148752025476,46.04872030338825,10.052219604722655,42.018073623832734,82.72960064701526,38.80727062460232,43.00235315755359,96.90786506771545,37.984463554034214]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[27.536761426018277,99.6974804758477,68.74338792087312,34.17708541051342,10.451078627667604,94.64987391200243,26.321454068716484,38.02216082812478,51.18480576172137,3.8769395723057607,44.336681379884055,75.15793986484334,43.00854332714426,44.54847752040797,90.47603372660849,13.434091161419945]","[32.72191699065638,99.02834967529911,64.7778590201809,38.80899149232626,2.990532837730999,94.80496286874096,16.185150419751263,33.469062805899206,59.41398637407433,-9.129442737311814,32.858384472945644,79.45033465483637,8.172656138260145,36.31407883057424,90.19523460487123,9.844303598275008]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),false,"[27.536761426018277,99.6974804758477,68.74338792087312,34.17708541051342,10.451078627667604,94.64987391200243,26.321454068716484,38.02216082812478,51.18480576172137,3.8769395723057607,44.336681379884055,75.15793986484334,43.00854332714426,44.54847752040797,90.47603372660849,13.434091161419945]","[17.471902328818633,88.5405658968034,75.62874519037167,32.77084554916425,6.564345616976745,85.86485543294279,19.08661638045889,40.162833005725936,43.57089119177748,6.388118480234281,51.61751944580372,93.4640355117662,32.519294514188175,38.49751637087964,87.46438215197472,19.981863948962197]"
