author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),false,"[26,60,9,42,43,36,50,23,68,2,30,57,92,75,62,71]","[20,25,74,58,18,66,46,64,35,57,51,68,2,93,99,87]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[26,60,9,42,43,36,50,23,68,2,30,57,92,75,62,71]","[26.313183449271925,58.55438386028683,8.971442345342194,27.416102256472488,40.508977579058815,30.431519495474923,36.18327661181134,41.03678140469481,73.68292634785203,-4.336875827881427,50.58254148253958,65.4638857415027,95.29520150767978,70.46500729981516,51.98632253071196,79.70099100413434]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[26,60,9,42,43,36,50,23,68,2,30,57,92,75,62,71]","[24.032942163569878,53.047118863309265,21.5489658643564,37.324035854018234,24.52496009776193,45.11008586867452,43.52614999073042,28.724836814388496,68.743013194157,-5.957668329119669,45.235688715112175,48.880675647628195,105.50236298379195,65.59347433119576,59.040791526953825,54.9129101052273]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[26,60,9,42,43,36,50,23,68,2,30,57,92,75,62,71]","[24.195227399189445,74.51682548214909,6.435390031023782,48.931529896869314,25.240709918968086,36.00262648671171,71.8183224431331,25.241629620865165,82.38769734688364,-6.548453700851816,14.648967378429642,51.20646521986644,87.56270959734994,91.80338202545066,64.2259751667198,75.93711683853537]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[26,60,9,42,43,36,50,23,68,2,30,57,92,75,62,71]","[36.480865982329114,47.085345445962865,-9.148064891067015,57.69217960405396,41.16317845343384,33.268402871502786,62.087498795711745,39.26130995700717,71.64744237331149,-1.1902692774748065,24.551777528211616,31.51830610783179,104.84200479905822,59.92111693202903,70.56102318343507,60.229609328240976]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[26,60,9,42,43,36,50,23,68,2,30,57,92,75,62,71]","[8.856861481952865,35.97150613256703,-6.9386679969880625,37.34931841485672,53.3516616635299,41.26768598227092,35.2121002557143,28.106125740797154,49.56976149622513,3.574775269836972,36.851682413023525,49.36764964224576,100.29961378737798,66.0929733244939,73.6060388575832,58.730232629970445]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),false,"[26,60,9,42,43,36,50,23,68,2,30,57,92,75,62,71]","[20.905020282733382,59.57491910001462,13.822713063600105,45.003812784429314,51.87662573228395,33.36442933976359,46.69682473799813,22.577956219425364,58.806152607065684,10.549685236226557,26.284856840162796,57.81015223616295,95.63539958170584,79.95051775890168,56.986039958119335,75.14317914434852]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),false,"[38.175846765227746,73.56401005959127,3.5204097915109562,31.653852625225937,34.203775455426964,36.619931252893686,62.934087389709546,21.71630161376676,75.72686473035418,1.7986144578848018,35.02574501180825,50.38084957731334,73.43425490309944,61.184114441850134,45.37858851553045,80.75123677930615]","[26,60,9,42,43,36,50,23,68,2,30,57,92,75,62,71]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),false,"[38.175846765227746,73.56401005959127,3.5204097915109562,31.653852625225937,34.203775455426964,36.619931252893686,62.934087389709546,21.71630161376676,75.72686473035418,1.7986144578848018,35.02574501180825,50.38084957731334,73.43425490309944,61.184114441850134,45.37858851553045,80.75123677930615]","[57.88352501811001,79.63964260165595,2.8562616472510873,23.75023151581595,29.317154275688278,44.97835455686191,57.66140294930465,15.318584168898841,87.21953957212173,3.267171748098387,35.01261323474639,35.81096150786358,73.79447368538403,71.92815407795412,57.115950672812204,84.76515663628408]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[38.175846765227746,73.56401005959127,3.5204097915109562,31.653852625225937,34.203775455426964,36.619931252893686,62.934087389709546,21.71630161376676,75.72686473035418,1.7986144578848018,35.02574501180825,50.38084957731334,73.43425490309944,61.184114441850134,45.37858851553045,80.75123677930615]","[20.31441186116329,70.77604893085227,-4.28222855464024,22.10575720145931,46.03567256100699,33.76394944710586,60.038347585720864,6.285749060476141,74.50807039437089,-12.939942186570747,40.14063412006858,54.73418256404553,64.88712901205065,77.8714973754944,39.969847332639276,77.50526286475782]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[38.175846765227746,73.56401005959127,3.5204097915109562,31.653852625225937,34.203775455426964,36.619931252893686,62.934087389709546,21.71630161376676,75.72686473035418,1.7986144578848018,35.02574501180825,50.38084957731334,73.43425490309944,61.184114441850134,45.37858851553045,80.75123677930615]","[45.66117851116602,80.90051443864168,2.097323382164849,32.37109685520042,33.81612411213027,34.43765602080436,78.71945893995846,31.2950212323465,72.79529268235024,-13.344751096324345,44.420665434767734,32.97820892967351,71.2658653758892,50.86342493288995,34.023996448068814,86.88863932912322]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[38.175846765227746,73.56401005959127,3.5204097915109562,31.653852625225937,34.203775455426964,36.619931252893686,62.934087389709546,21.71630161376676,75.72686473035418,1.7986144578848018,35.02574501180825,50.38084957731334,73.43425490309944,61.184114441850134,45.37858851553045,80.75123677930615]","[30.026187514204054,49.64397732146019,0.13323471104293017,31.591272284943404,51.757740672028945,32.61315240904659,60.525604390259176,23.79408759207725,77.66446250454914,-6.175578510223336,46.50712750512198,43.627922034701285,59.36456606684673,60.67014419183227,49.710508821076296,87.31053143618139]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[38.175846765227746,73.56401005959127,3.5204097915109562,31.653852625225937,34.203775455426964,36.619931252893686,62.934087389709546,21.71630161376676,75.72686473035418,1.7986144578848018,35.02574501180825,50.38084957731334,73.43425490309944,61.184114441850134,45.37858851553045,80.75123677930615]","[30.274998834173267,66.76083721669838,-1.1909130258017626,31.601931500736956,22.606246864241385,33.87825630323672,60.634869856825034,24.506915781855387,89.99597334397204,7.892931612660452,29.754439150271068,46.51043519702501,83.81189398601242,73.51684813494553,44.32658789007756,89.87292725512879]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[38.175846765227746,73.56401005959127,3.5204097915109562,31.653852625225937,34.203775455426964,36.619931252893686,62.934087389709546,21.71630161376676,75.72686473035418,1.7986144578848018,35.02574501180825,50.38084957731334,73.43425490309944,61.184114441850134,45.37858851553045,80.75123677930615]","[49.061515455188584,63.62874125342822,11.277506453058685,4.2310337449578626,48.8362193830987,17.34237095494131,72.12029395444773,24.073149129164022,79.66491000707936,-19.37883094514529,25.187982604527537,48.778549240626575,76.65646626204024,64.9176795780523,49.59741291657133,71.49490342090303]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[38.175846765227746,73.56401005959127,3.5204097915109562,31.653852625225937,34.203775455426964,36.619931252893686,62.934087389709546,21.71630161376676,75.72686473035418,1.7986144578848018,35.02574501180825,50.38084957731334,73.43425490309944,61.184114441850134,45.37858851553045,80.75123677930615]","[47.93770031651037,58.25141887577725,7.952040521258041,29.633052189715606,53.03435822173757,23.042427794827972,65.85172664957167,19.257791356231124,86.17608995564972,-14.303183511449255,26.45740904200949,42.20025834091035,60.160645146813515,67.60968741507779,58.9280210532052,73.9598960024651]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[38.175846765227746,73.56401005959127,3.5204097915109562,31.653852625225937,34.203775455426964,36.619931252893686,62.934087389709546,21.71630161376676,75.72686473035418,1.7986144578848018,35.02574501180825,50.38084957731334,73.43425490309944,61.184114441850134,45.37858851553045,80.75123677930615]","[50.21638553339231,81.230161334725,-6.626398462413202,23.234421150510872,27.40930420776181,56.81858658612884,70.82160192747844,2.1134337577311904,60.30897965785485,-10.141045125275497,36.42261665832071,58.36656693990457,47.66677181182605,70.05511303269672,49.278346196654724,70.94255782274033]"
Fri Mar 12 2021 11:33:51 GMT+0000 (Greenwich Mean Time),true,"[38.175846765227746,73.56401005959127,3.5204097915109562,31.653852625225937,34.203775455426964,36.619931252893686,62.934087389709546,21.71630161376676,75.72686473035418,1.7986144578848018,35.02574501180825,50.38084957731334,73.43425490309944,61.184114441850134,45.37858851553045,80.75123677930615]","[26.25905183833007,69.8281195763275,13.632262554701406,8.236353905316985,37.25081483002927,42.11670664700641,57.667297315296764,20.750168467993266,66.23835684876616,-13.765397569859356,22.91725925452729,41.9993553122071,63.33460252148051,55.45357242517103,65.69306859764265,71.49771587190764]"
