author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),false,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[1,8,91,3,27,10,16,96,80,90,84,5,2,98,20,54]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[7.945402684100087,11.252670865050456,109.95735030820194,-19.98127932208505,45.112936661122475,19.672297942736698,62.7752405326835,45.89466206588367,90.47264375438495,75.56807459549891,84.27436460434242,54.344847077682445,37.64875616944711,73.6783072475549,50.471035906534986,15.072612947032571]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[17.229991248539598,-3.4572349919188916,99.68557775037841,1.0341149943923547,40.00170444543176,22.054832643652112,55.33402369473525,43.1043954360401,71.83399875767682,69.49393973642967,92.36853666947691,58.36132253943291,27.84561619574545,62.740608837676035,65.27040684580692,10.232494130477402]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[8.395903985511605,24.178806902482567,98.8591500847644,-13.549836019013844,36.7334286058089,35.29535235975375,58.46257193679334,52.32449766585659,74.6645451904123,62.04783182336968,78.35806308675053,36.101853135470634,34.00697192783322,65.1263428234511,44.66712426607731,10.087948660560075]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[3.59344440375501,12.240362285489521,103.05968519194593,-13.632369305665124,43.81087869122042,10.441414509519213,73.02869937915823,46.13824303947895,91.83197202585164,54.462674232129636,102.69368458913823,37.698297940562256,31.446007659899866,71.30572245185505,49.32248497002361,21.41236763951529]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[8.212097253682941,23.186853758134387,93.3744332586273,-19.323718804050177,26.4235693639682,36.00480662062986,74.13439554589223,41.72456434032516,87.99066818800841,65.40117061737094,91.01153456130136,58.252596778163806,7.374010706170896,94.286382658303,57.04693909730786,12.43422173632899]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[13.795002685197055,16.43982385281357,105.2297023494141,6.2411349795302815,24.487142927381704,29.679775535333885,68.36899790675749,39.54605174132928,75.88546791743542,61.585398522038496,82.84747017461147,57.22785546644641,19.602953892076194,63.89033879858592,60.47448582345987,26.848817474213735]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[0.496352650732625,8.36942348513586,100.54102642682334,11.628154343483441,29.47561099006853,15.220916535465363,72.21979507287745,46.02110068233321,82.97160098003833,60.57108129386603,90.47997766226477,54.3894301792365,21.66602194639522,86.03145049103449,54.60357513421495,2.567823547418282]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[-6.36234987071359,17.08698579002308,96.136424306213,-6.569250304616098,41.041662173758496,31.26551346012593,78.85413170224491,48.74315852686557,68.49110771902826,68.01030469091229,104.08962342366982,52.65546345760583,22.836688163828853,67.47706587026988,52.527583777444804,24.717363011135298]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[13.515866805232584,10.023820325868064,103.61156421619678,-4.559524730962195,23.889696322276613,34.638681505626195,64.97274647998096,48.30367210714206,94.17801666324786,61.93198138162515,89.58197263536769,44.140116324525394,36.25978014957477,83.32224454068404,65.26238242833098,-10.808303901027315]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]","[15.477455368692494,15.713094004836814,114.74058195230826,9.942177824988388,43.441900643057906,39.41011243001936,73.26338735825786,67.29761042775048,81.76888814303462,61.85833623644771,86.70703304744599,32.62660812643664,10.604303100903618,75.26785094027629,68.15342761970754,21.880256280577164]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),false,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[2,8,100,0,37,27,70,43,80,65,91,51,26,78,59,12]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[18.70955233980159,22.655561518175357,100.95372746878449,19.10947996925076,37.974953179241,30.35579857108408,60.909521375076956,52.014879138623634,112.375977826505,67.51115055649704,111.4239275249529,53.554573133101215,42.858115088921885,94.16097552735096,71.84882248047207,-7.836214620737918]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[2.262406002732379,-1.0814840880341805,85.80509529614572,17.956799044868557,37.05454071529114,42.631435555522984,75.94098489017917,72.7130636924635,83.80887041821113,71.04047255537103,97.24326474199295,47.31692509789143,26.640259435236743,72.47598562147446,93.93858681465971,6.761222908899367]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[-10.638057029871499,16.40153899576802,95.35751121844211,14.945078704247514,42.396555001385785,42.38477955886869,95.53300423619663,66.68819854711386,105.88285843991912,64.31988952727322,85.43436265066,57.65247592574682,39.11001056019726,76.40137435995007,92.64839146809354,5.502306753977817]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[4.959390539735052,9.257918555503526,114.10637778483066,-2.6001350972649666,58.59260862024034,53.378167244761066,85.76178897244765,45.17426703622417,89.24559391256102,66.03321989342867,99.05117137006961,38.9222374838171,30.509286107366854,73.20507795949689,87.2693517892585,6.854306780463391]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[-3.8211090328908535,56.510812872868684,95.9423805629347,5.262478644345653,44.409908900620295,53.66431731928731,51.77212197780751,66.4606657051893,101.50192477312545,72.44875474678408,102.05613824651873,48.18452576882557,35.73601792579487,65.79914572867698,98.72414517155613,11.38655715785988]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[0.44356758942466534,3.7533861865344864,114.70423290237139,2.2123188584384277,46.59742753536454,25.330580437137435,90.62988800528314,35.56871791336755,92.9294929735586,65.01961309431172,92.16608821098711,42.929190709018094,34.73075566371775,79.6218657165019,69.02473900713464,5.20694149311942]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[2.7781506746250333,34.757233918661456,91.32310840851511,1.8911381736856239,50.86669552341895,39.05141249722067,86.21650576429958,58.10035324133279,76.35022162814619,70.71837938512085,72.78619155973581,28.840523404162568,24.96524130592294,89.915646151673,77.39355952399387,-7.056476003015515]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[19.63773476722627,8.775744075176647,87.39054121760122,-8.642764764012945,56.043227962277456,25.676958780379092,70.1391080320881,66.76650059945963,84.84571446200947,67.07882511170813,95.82338123044129,31.815956893011368,29.6092189326833,72.13154097541964,71.72797791210382,-10.06374626564328]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[9.390751453141494,18.696646796503234,88.68666890174046,-6.64204877148945,52.16200401459778,41.17861047996473,90.61702329695267,38.880102702623844,97.52237098552712,73.04055977985557,78.52132607765773,29.88895041957487,34.307149703372644,94.81159000983997,87.19901133194877,-15.863875251161803]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[14.259522928917226,15.287780008323956,87.37041266503458,9.710595832791933,54.80407272517742,30.116311318662788,68.56408990627847,60.901497607222055,104.12901819788752,55.165711787481456,104.24768031956893,49.118024933792775,38.76434192640982,101.86554900547583,85.50525406886672,14.375660210441106]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[17.154492394958858,20.697097344726696,94.68820964998574,0.6516933885499876,59.7868475600554,28.76685889985232,61.70540040462125,43.446977894904,102.58242672503604,59.07835290067268,109.72657448393599,57.96042521111376,20.710383326910893,86.0410594055435,96.06757148399993,-3.1746302594185964]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[9.910022452773456,13.306297859868952,104.04215072050057,-4.346099088461998,51.92247778150757,26.798817799225496,79.45638312318556,45.608417515534995,92.3933048915633,53.956842652082344,93.16405643878045,54.479624973272166,56.10628015750474,77.04640953583005,86.40998040064734,-3.73667151172321]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[3.589822917757866,18.90600475069497,98.50669406706675,7.211495446758005,49.07001392237213,33.88310982850553,75.61097649468937,49.87810264898248,94.82222835885682,66.55708843313668,90.49930699071507,45.77859920514916,36.557679023867195,77.52285691516796,80.04043103003892,3.658625813117615]","[2.3398880894028142,25.132894657577598,81.83969558664896,2.9114615216567596,35.036292677796816,31.636093751653007,74.59557809458411,39.35426164373121,109.17249863258158,69.2624958127576,73.65087455926255,34.08446650979787,52.047190072601836,77.11088254666222,83.46502320179766,0.5915952570363583]"
