author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),false,"[65,100,33,65,57,49,91,4,2,3,53,37,18,40,14,42]","[65,73,25,76,67,80,55,0,19,0,81,87,1,53,7,62]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65,100,33,65,57,49,91,4,2,3,53,37,18,40,14,42]","[49.27876829760662,102.33047227102831,43.59144781580172,60.215858641219064,50.01907309261075,58.84798742276486,90.79578540019394,10.178718005585345,4.403057556487236,-14.804911907957155,49.02846002254996,41.11893768155981,29.95379566128584,50.297874672863145,19.8681724743413,51.569536515266364]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65,100,33,65,57,49,91,4,2,3,53,37,18,40,14,42]","[69.00021047314799,88.49603261632869,37.829956514770984,80.20071593238256,65.39084076123524,37.05232998792578,95.26784641023876,-0.6871576618875075,2.7180542892504707,-3.5979544459212427,40.476751249584524,41.43760149314231,12.325671901054577,43.39414673556173,0.7588997595303919,31.01036116264125]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65,100,33,65,57,49,91,4,2,3,53,37,18,40,14,42]","[72.0346720083249,91.75180915658737,30.477092510378917,61.64286361088274,58.70664491266298,49.572180236813786,79.25623302767991,11.223206119055869,-17.746211676338497,11.837816106101636,43.89569113567292,39.93893370660207,-3.3004981718669804,33.42811268907231,0.4366278134973438,24.829867037023526]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65,100,33,65,57,49,91,4,2,3,53,37,18,40,14,42]","[57.04828301209543,115.83324411442538,35.04253621659295,64.58745185796279,52.98179654406881,45.74879973097707,98.51951134975519,-9.444270791434402,10.83014211366042,5.176955520920574,44.54795343390992,50.350937853384536,28.926826001791063,33.79252815994141,8.46135779873413,43.735336803691496]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[65,100,33,65,57,49,91,4,2,3,53,37,18,40,14,42]","[75.34832569467761,102.2722007743199,44.22484215652592,64.2056442034507,33.65832564778924,51.81401087742756,90.87674092398902,17.96409367415695,-1.6618746677720235,-0.5287976327632924,55.05930517559998,33.84373340563153,26.47055930519964,44.43711214795715,22.34555986917061,53.81664617605068]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),false,"[76.0456056636233,96.92407082300304,32.75292081245553,76.30631350557695,41.44374190120393,57.753733256492175,93.81876429267227,6.686876775046736,8.60687158823443,11.315269267307118,41.317676971302944,41.27491879337771,26.109127568467095,29.406367859104577,17.800873506641743,51.8762637457061]","[65,100,33,65,57,49,91,4,2,3,53,37,18,40,14,42]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[76.0456056636233,96.92407082300304,32.75292081245553,76.30631350557695,41.44374190120393,57.753733256492175,93.81876429267227,6.686876775046736,8.60687158823443,11.315269267307118,41.317676971302944,41.27491879337771,26.109127568467095,29.406367859104577,17.800873506641743,51.8762637457061]","[67.34044537930768,88.37584080956432,29.282177997955685,67.88399709414213,36.95867242163001,53.71762078501993,102.66938697647059,11.2647140451937,22.37818861442912,18.375467324438482,25.545248629338055,52.7872567057997,43.359452209304806,50.82235596657827,19.721645032722574,65.7511379078816]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),true,"[76.0456056636233,96.92407082300304,32.75292081245553,76.30631350557695,41.44374190120393,57.753733256492175,93.81876429267227,6.686876775046736,8.60687158823443,11.315269267307118,41.317676971302944,41.27491879337771,26.109127568467095,29.406367859104577,17.800873506641743,51.8762637457061]","[79.6958558714458,87.2251196520559,45.20766087043833,81.23501855540302,41.327789416465286,67.82758893918562,89.87695465853217,-3.909708494913618,7.684608773681507,13.801797264174605,26.50961471808927,42.22688091021565,42.181454375869535,24.26953763009114,22.409954839911357,64.60869618688129]"
Fri Mar 12 2021 11:34:11 GMT+0000 (Greenwich Mean Time),false,"[76.0456056636233,96.92407082300304,32.75292081245553,76.30631350557695,41.44374190120393,57.753733256492175,93.81876429267227,6.686876775046736,8.60687158823443,11.315269267307118,41.317676971302944,41.27491879337771,26.109127568467095,29.406367859104577,17.800873506641743,51.8762637457061]","[67.34988581580261,93.72513962027784,39.23370469290615,71.73506524980061,16.793818062199513,57.975569450985596,99.28605426481342,2.121722725336695,13.663546113759601,13.18219592381685,52.63039906263445,43.905623773541514,25.604027383065862,29.8252961038882,13.310509701229732,29.29223230734023]"
