author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),false,"[75,100,63,81,66,80,53,67,37,6,65,92,94,28,67,51]","[29,71,13,29,48,72,4,65,13,42,41,71,34,67,69,10]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[75,100,63,81,66,80,53,67,37,6,65,92,94,28,67,51]","[69.24430119926625,96.14598824988967,52.10825886062683,88.90126582528626,80.88218864027652,75.69871625483147,41.08264136784716,57.963173183919075,35.36305681911642,-10.120005107352902,67.08927968195637,106.56208023871245,91.13961239196477,39.582847021382115,62.26474070010346,57.52437143957631]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[75,100,63,81,66,80,53,67,37,6,65,92,94,28,67,51]","[70.07859582733504,97.19661688939311,60.44219878934127,83.14761357195108,68.66634513922202,73.25330900856437,58.09861992306732,77.24907448266559,39.78961820753151,2.7616573405791525,67.81191631203279,105.28418551656394,100.0729153240783,22.444314109944056,67.24964560961233,55.83517422960678]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[75,100,63,81,66,80,53,67,37,6,65,92,94,28,67,51]","[80.51936157443346,112.82936990088001,59.90784394354055,95.39485206352246,65.39252113169911,99.51058600946149,42.8576566565717,59.85823520529824,59.10354620942392,-9.649662865507345,59.70391625947662,90.10207179138715,107.64145071872301,11.662194048044917,78.29857008050594,59.751305673813974]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[75,100,63,81,66,80,53,67,37,6,65,92,94,28,67,51]","[84.39565769336782,104.63426017623328,79.07722861871866,80.34548982727236,74.83853319936632,73.84859617367205,47.497712804200994,71.45202174257584,45.58724688739114,-2.706756307505172,73.26958369912737,98.81346809482373,97.4843163386458,26.229026153662815,67.13772559739655,58.898261169066494]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[75,100,63,81,66,80,53,67,37,6,65,92,94,28,67,51]","[55.28391871105529,115.74378637425846,60.369680604824275,80.36077407546964,60.729751947796245,70.92184950933725,57.4962740872286,76.40721057978702,42.110938459554625,-2.3206716983407976,72.70267221401664,105.96571763963087,82.46206266386457,38.93713577657321,52.34669960575265,65.99801669295861]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[75,100,63,81,66,80,53,67,37,6,65,92,94,28,67,51]","[76.0389702677528,94.40049901346796,59.26894475021449,100.95613215623155,74.00661636690451,60.82619699197605,32.740907002029395,73.63314594618224,31.824704883187877,0.27357955048864735,46.47379762390944,79.30822871355056,89.66640949703293,14.87290725467053,75.06966794670208,29.343852832371024]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[75,100,63,81,66,80,53,67,37,6,65,92,94,28,67,51]","[67.5858687119903,97.59827260951967,64.70706734051167,73.11175717039947,44.31078474223078,66.09250803099303,53.02613723749314,61.787536080689065,35.467751025893186,-1.311098349073065,67.80461397458366,73.43009662352131,94.40673444296554,20.926990137769177,81.09661703198526,62.88763165352194]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[75,100,63,81,66,80,53,67,37,6,65,92,94,28,67,51]","[64.60019178498808,119.17423073212413,58.15976624083653,65.42868253619012,69.86426313291064,84.0685861680944,56.2144760725352,57.51099149214655,30.917117435645306,13.475016455269593,71.06703603283124,82.32716983859345,83.72721347335981,23.144891336101285,66.72058741651524,58.19015812684302]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[75,100,63,81,66,80,53,67,37,6,65,92,94,28,67,51]","[74.18497344372508,116.8139543756742,79.71074619636704,85.73975569745922,59.911980999098354,70.05385550549488,38.989198939075244,53.28065525409286,54.820941878217496,-1.4762236612820123,69.7406238199676,100.75437907342094,89.90707234964091,9.384526041280285,60.23764427055703,54.421559597258]"
