author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),false,"[42,55,89,55,77,36,18,12,7,10,14,46,16,69,47,73]","[61,62,14,27,62,92,13,83,92,18,39,20,78,50,24,65]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),false,"[38.067232802683684,59.24383266304313,88.29594068551106,68.16205266513575,69.52926325889926,16.555417623906937,19.294421087689898,21.027039484328093,9.79464317914249,24.526259723999587,33.10269135551819,47.249937935071486,14.82703436858519,72.47506775618604,31.04442514023522,57.915863422210215]","[42,55,89,55,77,36,18,12,7,10,14,46,16,69,47,73]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),false,"[38.067232802683684,59.24383266304313,88.29594068551106,68.16205266513575,69.52926325889926,16.555417623906937,19.294421087689898,21.027039484328093,9.79464317914249,24.526259723999587,33.10269135551819,47.249937935071486,14.82703436858519,72.47506775618604,31.04442514023522,57.915863422210215]","[35.50888795890986,54.14121888324887,75.92178647583738,73.00058569493402,60.422411075286135,16.267407306037462,24.15016190333334,22.89600499115943,2.371297997116603,27.645674702985474,29.06502091656855,55.331085185874414,16.015041197696107,73.75512654351952,11.68651824179124,52.28962926763428]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[38.067232802683684,59.24383266304313,88.29594068551106,68.16205266513575,69.52926325889926,16.555417623906937,19.294421087689898,21.027039484328093,9.79464317914249,24.526259723999587,33.10269135551819,47.249937935071486,14.82703436858519,72.47506775618604,31.04442514023522,57.915863422210215]","[49.929685250900384,59.37995598861869,109.62764201121573,79.65652911900997,76.36973684248417,18.37907798293559,7.075403576712503,32.587234698728395,-2.780757326841359,34.98184379960533,31.69386086238548,22.35914057253538,5.1661408522710435,66.09277759055182,35.86676194747398,69.0760519583912]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[38.067232802683684,59.24383266304313,88.29594068551106,68.16205266513575,69.52926325889926,16.555417623906937,19.294421087689898,21.027039484328093,9.79464317914249,24.526259723999587,33.10269135551819,47.249937935071486,14.82703436858519,72.47506775618604,31.04442514023522,57.915863422210215]","[24.13423072057686,46.30759535615005,100.25861432255212,86.80238456898152,71.14057055030042,13.531415819743287,10.92389066073799,17.418583794301085,14.575272278723808,31.205287747521773,37.05771988716174,50.64937590730612,15.891536999213423,85.24559729992613,39.26574315133091,56.210208137783745]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),false,"[43.92953223372644,68.3637980056964,92.996094122156,67.67901662762772,68.96268244550798,28.013725103470904,10.52582094798586,26.372115127335423,2.6977163263967627,49.58681541413908,27.999696388670998,41.35254511058979,38.78632050107306,76.3075171606342,5.5886665101238435,73.23627941114995]","[38.067232802683684,59.24383266304313,88.29594068551106,68.16205266513575,69.52926325889926,16.555417623906937,19.294421087689898,21.027039484328093,9.79464317914249,24.526259723999587,33.10269135551819,47.249937935071486,14.82703436858519,72.47506775618604,31.04442514023522,57.915863422210215]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),false,"[43.92953223372644,68.3637980056964,92.996094122156,67.67901662762772,68.96268244550798,28.013725103470904,10.52582094798586,26.372115127335423,2.6977163263967627,49.58681541413908,27.999696388670998,41.35254511058979,38.78632050107306,76.3075171606342,5.5886665101238435,73.23627941114995]","[37.630330281395445,60.709437714592106,92.7119606361713,58.205558975975464,72.67485303066744,50.85317985160442,13.465365619707423,40.502508312489795,3.7615802820165927,49.483473198254856,30.02516454536687,46.94539134201115,30.31950799164537,63.91042071180473,10.656831501381252,56.91301620065337]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[43.92953223372644,68.3637980056964,92.996094122156,67.67901662762772,68.96268244550798,28.013725103470904,10.52582094798586,26.372115127335423,2.6977163263967627,49.58681541413908,27.999696388670998,41.35254511058979,38.78632050107306,76.3075171606342,5.5886665101238435,73.23627941114995]","[60.71717251270222,68.07170464000535,102.9289984632599,70.41276610159973,71.47678826320964,39.42281075403665,14.002735102875778,17.739149588733195,2.5615963963159447,43.1633797836942,35.06180498231326,47.93525466530483,41.10673607839522,71.01735414424414,-12.182080271210822,64.99308250945919]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),true,"[43.92953223372644,68.3637980056964,92.996094122156,67.67901662762772,68.96268244550798,28.013725103470904,10.52582094798586,26.372115127335423,2.6977163263967627,49.58681541413908,27.999696388670998,41.35254511058979,38.78632050107306,76.3075171606342,5.5886665101238435,73.23627941114995]","[44.06774832349485,70.58838645809169,104.03664916663796,64.83523601057067,98.16219500694532,19.013717394051643,4.132124472936295,32.706550712561736,13.78899160599942,47.64489858147656,45.19142812699149,44.90377579087207,38.278549190597175,74.29484730999431,20.494020460189173,63.91014650406059]"
Fri Mar 12 2021 11:38:38 GMT+0000 (Greenwich Mean Time),false,"[43.92953223372644,68.3637980056964,92.996094122156,67.67901662762772,68.96268244550798,28.013725103470904,10.52582094798586,26.372115127335423,2.6977163263967627,49.58681541413908,27.999696388670998,41.35254511058979,38.78632050107306,76.3075171606342,5.5886665101238435,73.23627941114995]","[34.48784135421776,55.80808577274708,90.29404068952975,76.42663589521129,71.23730169847806,32.8238558770591,16.02392378445303,17.693782961095238,9.966973653833954,33.56154530153907,20.294161062495945,37.17684042382553,33.877106520943684,78.84287070994448,10.224322446491882,70.73614173129825]"
