author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[1,48,2,76,76,9,33,99,1,80,62,38,29,19,53,66]","[41,16,25,24,29,86,51,64,25,92,75,40,7,99,30,90]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[1,48,2,76,76,9,33,99,1,80,62,38,29,19,53,66]","[-1.3048892889735932,49.89533899318907,8.532892094389638,71.23817774211545,75.60687083069803,13.59945959496741,49.69204189306362,85.71583668780022,-12.558111348833295,88.97909966966202,59.96044920750751,27.641240561664617,27.933823922855385,22.576238454124603,48.576342658820955,49.29475319810534]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[1,48,2,76,76,9,33,99,1,80,62,38,29,19,53,66]","[8.309694387684095,41.084981772588655,-26.327753429915695,81.15136440096826,71.17413059068008,-5.003696213532336,19.38727766672356,84.94829299101247,-10.713422811170982,74.41659227422359,75.97235986874978,39.80920046756378,9.264575896835261,13.05927192752449,48.67286941940415,64.27418504884018]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[1,48,2,76,76,9,33,99,1,80,62,38,29,19,53,66]","[0.9792405068766963,47.455231330837044,-14.819606500848852,74.57132818101206,94.20437769347495,17.109378631620572,55.21500695922353,84.8957336568201,3.0444534354066017,88.91985615077782,57.08719047877372,28.768320408007906,25.983411570347837,10.888245588545459,61.381969409212175,68.42909625651458]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[1,48,2,76,76,9,33,99,1,80,62,38,29,19,53,66]","[8.4098883255404,55.15539040673118,8.392514465383066,80.71104161108408,82.27854584837536,9.01523161318981,10.63357284767531,83.91143364919742,15.578912009377362,86.28443466586843,58.817124956699914,34.450963274468336,31.816243710824818,13.596567864932862,64.45318947156537,44.162512011431225]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[1,48,2,76,76,9,33,99,1,80,62,38,29,19,53,66]","[-10.543626568269556,40.42016633992182,-2.2010264952393515,73.26606603419977,83.37360123173433,13.752286730451008,20.1299134135924,105.56111112314751,7.995537738101394,78.72902422395059,55.241536239252184,53.319601074817896,46.14012652999672,25.88841354733374,73.64495709943589,50.326132001641206]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[1,48,2,76,76,9,33,99,1,80,62,38,29,19,53,66]","[9.759839037539422,27.45824074284102,9.074801016462077,65.66118358549706,82.24652582332183,0.0510598789029153,31.925044739802193,89.48232033231967,-1.8568913583679163,72.7803101562339,53.66335513939071,39.01676093654897,26.449338938620873,3.427463577621138,44.11747135048512,54.08922621448737]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[1,48,2,76,76,9,33,99,1,80,62,38,29,19,53,66]","[13.869977507990452,55.1307522682096,4.102259538046848,82.11331564375112,71.08467355957393,7.844507388784246,31.918560478533276,91.52445128377664,-2.1899407083422116,79.36499017935789,71.40904296747276,50.07222530459285,34.193698716132864,12.48207965999743,59.77213459476505,52.81241473268014]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[1,48,2,76,76,9,33,99,1,80,62,38,29,19,53,66]","[11.964971216261102,33.20303316840834,1.4527677347540928,69.627353617292,57.549797767056106,16.72451212406029,37.26398460939839,82.08328775538996,-16.379323768544356,90.1994688806715,64.92579270609019,39.55744028912821,42.94768131535349,12.654675463804,66.03173570241412,42.562469030258306]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[1,48,2,76,76,9,33,99,1,80,62,38,29,19,53,66]","[-5.541015898476249,45.776495671761374,-20.344203967448397,80.34726577819576,71.00895609319603,4.61797305330633,49.4117653939723,93.20646301932375,14.945518266720853,65.52265833899506,56.872538193138304,38.87541982728802,33.73856440735399,31.81484123753407,48.57438576634958,83.34667813360494]"
