author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[16,86,73,33,42,86,4,75,19,62,11,1,23,67,12,83]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[44.31073918455529,41.3668539885039,86.01211552827777,96.07223404336628,5.459795990947871,52.48483799769002,37.034224661401964,28.83380338013974,10.472865349475125,80.37192940978701,17.302361514182437,113.88711818745972,3.5846822727778394,44.27817339380223,70.55093428347676,51.97850378366524]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[38.028455203455984,70.25571290782544,111.7109014960987,78.469302107555,9.821264613594323,36.51373261817469,25.46698346027369,36.32040002279798,5.974933317285028,80.41542482879063,5.775436602559406,92.27367820836378,20.906123917657926,13.499125118011957,35.36134817441275,58.37252525701702]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[45.59088751851498,52.83064402183431,84.19245909389019,89.57753589298423,4.467359923079365,43.253010702130126,24.804319680461944,28.637386839034985,4.466642003294343,85.19651948929112,9.087259377258516,107.2015690459326,-0.11185832676541807,12.59175930915822,44.49449971346947,45.06710098535116]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[43.78728956970768,64.47872727360672,86.71257975092013,107.7487945628558,15.668296637802506,41.379211498516824,41.005803134669584,28.354414383737176,-5.17716921105384,75.12328953996422,25.691434601603646,105.76548352149652,7.302106498554503,30.540461500485925,31.340778515162583,44.93101709718711]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[50.15145024923795,39.21570297377021,91.35637584292124,99.68472601170568,18.463305287038086,54.475017062032705,31.956277591414814,19.19404939932553,17.211522651699347,76.07393682847055,2.729049143027005,98.28503964161935,7.386469009824006,45.170202564179164,49.4714659805291,44.0269074653508]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[58.38442437899712,61.309374769597426,69.4682661756656,86.92333729952173,16.683065249663496,48.97844075168999,29.312896296983,14.382101968301939,23.42918021089876,63.87906028110275,6.405473982739046,93.28209601506117,7.027027488389676,20.162250434066255,41.750609825837984,76.75665939557855]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[47.93314245459773,48.102546226044,86.75909172732705,72.88772453453035,8.779694665921165,27.284683783741873,26.36981330709532,24.182101842392242,12.993681471414192,82.63836799344448,17.225677762997705,101.8710568487077,-5.554962123795379,27.59995808673737,58.018495873139344,69.79730041892569]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[48.27450469740088,50.20737550903825,95.7373567306587,83.74726855073267,2.4399519989424707,27.91146990277842,37.40741328556422,43.414009342648725,-9.535219995793476,64.59478640993775,4.316009258397784,120.39471382363897,-0.3839958454820458,25.780718408314968,46.05203779443652,46.792187897514935]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[27.342331805636608,50.066796446053345,86.97435189145281,93.52054745304733,3.8958769171084686,29.711541142601966,31.431100858371483,30.926585834896105,-6.300414046554529,74.28912243523509,32.645849886996544,89.10047167987463,-2.6939028521356567,41.94230574002316,47.48969524873486,56.58668130197206]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[61.974886330744795,51.741806936536804,85.35485051980568,81.34513019725213,3.4591023842561883,50.80641174463334,47.19016535923068,27.216559293153253,3.11804914234496,78.11278913074935,20.263186507612666,101.8676671386382,-13.939261991339372,36.2425932700908,42.47941146056105,45.76994938190258]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[29.439210604901874,57.826061696304606,68.08622142564096,58.806962038447566,21.178085771799168,28.945321714412657,36.40340664880025,44.784362764633826,19.452555731496965,88.24908732654936,19.887154726681914,100.40826852912606,30.961556612418363,24.57148763282702,29.274603844228384,59.48587504032785]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[43.53510318557708,52.23207241493831,86.3374073790807,64.97961490232646,-3.4528107090505777,23.440300288001623,27.96943709372429,23.888953022819436,18.521931130696416,84.0374441775452,11.94054724418136,112.50731303244073,26.112281596598322,32.577986701611216,48.06727173673799,41.88329523025574]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[55.02765738521839,45.41253645864664,88.43471165015214,81.29344857008006,-9.054599448879426,43.5667280569417,22.43947427760337,40.993931632940225,13.298240261052236,87.39816725133291,7.518169272319465,98.761734402276,7.795401790120629,51.42917275346707,39.1472353350846,47.02001373246675]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[56.618832224114826,42.661814219359215,76.69781345963045,93.21161541414197,5.796741124142754,51.04980331606952,47.57162095133124,8.222736081303754,6.493822751366235,77.28346234240796,23.412545596881962,112.7248778805636,-0.14118050084613998,41.17058667791646,61.31450679379163,62.346688239488564]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[36.77835941187196,70.21795578790584,77.82656126719557,89.5995716365632,2.503438335310534,27.14381174132518,45.943927778326064,30.15103688030368,29.033670197959548,68.17857146660137,19.524143449577725,110.96867709518645,-12.537873838337227,60.26881255751579,30.793016956961416,62.0522958964402]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]","[54.171828636334176,39.29178885239814,84.00110345739293,90.902582394949,-0.1830029165728071,49.96488857538188,43.079363587882234,35.82892626686193,8.94394177863775,74.02771356298102,18.128651570678855,109.92716414732976,-13.40654198847562,21.9114905213409,35.09087998055756,53.45803246532072]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),false,"[49.18978841812325,36.823049930675616,77.52634301051694,77.89474983075938,6.474926789430974,45.55033727022116,20.619469621899462,42.20366053873252,11.777686112043277,90.65857583658425,35.51548068107621,96.9663265733497,0.016096037971758292,22.8198581048269,30.943733047309557,49.14285513315987]","[49,49,86,84,9,38,32,29,13,83,14,99,5,36,41,54]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49.18978841812325,36.823049930675616,77.52634301051694,77.89474983075938,6.474926789430974,45.55033727022116,20.619469621899462,42.20366053873252,11.777686112043277,90.65857583658425,35.51548068107621,96.9663265733497,0.016096037971758292,22.8198581048269,30.943733047309557,49.14285513315987]","[47.31670762871463,40.78935330687056,81.65705726930759,81.8723254172194,17.28678161335765,53.27714739599902,30.383000657542112,32.393409123365856,17.086275136348924,86.54194268744477,36.447422114425855,100.44121856852843,-7.558376586980631,14.026535618168602,33.24708058422016,59.42450079061176]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49.18978841812325,36.823049930675616,77.52634301051694,77.89474983075938,6.474926789430974,45.55033727022116,20.619469621899462,42.20366053873252,11.777686112043277,90.65857583658425,35.51548068107621,96.9663265733497,0.016096037971758292,22.8198581048269,30.943733047309557,49.14285513315987]","[36.52846103270201,33.37780861913773,79.41732601914616,87.21559335413185,1.7285168410870764,67.01564025402948,42.7369579080367,45.195806226848646,23.48830179645272,83.1297717432924,22.569103347226864,95.8057017279467,-1.600894185281622,7.047765454479537,29.174011832553266,57.190761310611116]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),false,"[49.18978841812325,36.823049930675616,77.52634301051694,77.89474983075938,6.474926789430974,45.55033727022116,20.619469621899462,42.20366053873252,11.777686112043277,90.65857583658425,35.51548068107621,96.9663265733497,0.016096037971758292,22.8198581048269,30.943733047309557,49.14285513315987]","[53.24435101560327,36.82370739841087,94.84443446358674,63.386845351006,19.175232454072408,43.68176919483764,25.166076524656877,27.229052020348846,20.067610777345834,95.56214741980921,26.379166141680756,92.1998999585471,7.020717945710165,20.09267471253435,9.470772514665292,39.88421341826453]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49.18978841812325,36.823049930675616,77.52634301051694,77.89474983075938,6.474926789430974,45.55033727022116,20.619469621899462,42.20366053873252,11.777686112043277,90.65857583658425,35.51548068107621,96.9663265733497,0.016096037971758292,22.8198581048269,30.943733047309557,49.14285513315987]","[55.80996629375562,38.26616467644197,67.9073637473262,84.87619076046725,12.820637639010108,45.64517959005273,4.031628867053463,37.978961283236025,21.58624816329918,84.13704174741187,39.33228924556683,102.92091369825103,-8.19777767156411,33.36376422298329,33.838737955237555,56.24727253572746]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),true,"[49.18978841812325,36.823049930675616,77.52634301051694,77.89474983075938,6.474926789430974,45.55033727022116,20.619469621899462,42.20366053873252,11.777686112043277,90.65857583658425,35.51548068107621,96.9663265733497,0.016096037971758292,22.8198581048269,30.943733047309557,49.14285513315987]","[42.294195900011964,54.91195897360572,50.45521034376279,85.637194834129,5.879358647833332,52.30252153240427,34.86141550745877,30.369690805559067,19.577981032234675,120.35106627333226,25.090743104184504,107.04429754886155,-12.716250261296063,18.779302383462316,21.159655827916517,45.57538612257108]"
