author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[41,47,71,12,84,67,95,5,11,2,32,59,92,88,43,66]","[43,34,6,46,28,38,68,84,22,12,97,46,51,78,64,69]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[41,47,71,12,84,67,95,5,11,2,32,59,92,88,43,66]","[36.1986520506538,33.40456741235468,72.40231630784842,7.998326661365097,81.91691273532177,52.69988446028314,89.77260577189594,16.938067936452974,28.381667924207072,-10.636551253304788,40.795252642155965,73.19894442269084,100.77774382008519,88.05730771185146,48.586810083099955,87.28393617149445]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[41,47,71,12,84,67,95,5,11,2,32,59,92,88,43,66]","[34.050486579790075,48.90805126136351,59.53218469170733,-9.022458954767007,95.81263378209289,60.434158296128416,91.34769343603739,4.300024857984619,12.466091957808954,-1.8654777925133215,46.746591892708835,65.53777414891175,95.65042967168115,86.3162985735894,51.56660789992086,70.9001485763882]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[57.338933680708514,46.63918267786987,98.66330648273473,5.351685755889657,94.82112803131008,53.70193847245581,88.70371785720825,21.148356054912945,13.226992143919297,6.59294514334337,14.272187886627172,59.98982236978652,88.70773575162886,90.44338634285535,22.038840224850286,62.16900575085896]","[41,47,71,12,84,67,95,5,11,2,32,59,92,88,43,66]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[57.338933680708514,46.63918267786987,98.66330648273473,5.351685755889657,94.82112803131008,53.70193847245581,88.70371785720825,21.148356054912945,13.226992143919297,6.59294514334337,14.272187886627172,59.98982236978652,88.70773575162886,90.44338634285535,22.038840224850286,62.16900575085896]","[51.31636148294445,42.750048292207474,118.37088128183649,-2.7062570105169614,104.46627914692445,64.81131187457456,81.40203242205604,25.200792782981413,14.933180267832624,0.5608269774952674,10.58410129446467,60.121945693500294,98.75523156607828,86.49812793327612,21.998228948855765,64.67935572523237]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[57.338933680708514,46.63918267786987,98.66330648273473,5.351685755889657,94.82112803131008,53.70193847245581,88.70371785720825,21.148356054912945,13.226992143919297,6.59294514334337,14.272187886627172,59.98982236978652,88.70773575162886,90.44338634285535,22.038840224850286,62.16900575085896]","[47.63674546910455,44.25118370996724,97.16205297228771,-9.118419534463925,88.94789732561993,60.39278508933511,80.6978517632547,16.65174541329708,-1.5285284220672803,21.612333844042645,6.482801081894587,66.0882062931535,85.36927543303474,93.46737179021144,17.846843806579095,47.147612926248534]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[57.338933680708514,46.63918267786987,98.66330648273473,5.351685755889657,94.82112803131008,53.70193847245581,88.70371785720825,21.148356054912945,13.226992143919297,6.59294514334337,14.272187886627172,59.98982236978652,88.70773575162886,90.44338634285535,22.038840224850286,62.16900575085896]","[38.03836378544067,45.13904270122538,97.63952362529102,7.790868360823259,85.39223497330569,46.795261494415165,90.8246273239067,38.24625400183256,-1.1650025521177962,-1.2943656448063559,17.97697558695616,62.16323550585608,97.68503133826394,73.67199671918232,29.521165828643873,69.97868877610335]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[57.338933680708514,46.63918267786987,98.66330648273473,5.351685755889657,94.82112803131008,53.70193847245581,88.70371785720825,21.148356054912945,13.226992143919297,6.59294514334337,14.272187886627172,59.98982236978652,88.70773575162886,90.44338634285535,22.038840224850286,62.16900575085896]","[66.85121440604729,40.628957857293955,83.440191444143,7.473183601265572,77.47663052869379,58.58776013062112,97.44691271481767,31.988191182216767,15.350743567093271,7.022044850261313,4.285974779224448,60.67188489888362,72.14455339823438,101.11407851264522,28.698555265817816,61.98722197665547]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[57.338933680708514,46.63918267786987,98.66330648273473,5.351685755889657,94.82112803131008,53.70193847245581,88.70371785720825,21.148356054912945,13.226992143919297,6.59294514334337,14.272187886627172,59.98982236978652,88.70773575162886,90.44338634285535,22.038840224850286,62.16900575085896]","[41.208911205535344,39.0785281774856,93.52154656582066,-2.9674055640504813,91.41104186489916,64.84699272512793,98.89316669806222,-0.12465874211760664,28.40838743997295,1.1509590802851406,16.83066751269328,67.09369653906758,102.95814559815206,95.91443303513708,3.0628337283911122,57.70447784187835]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[57.338933680708514,46.63918267786987,98.66330648273473,5.351685755889657,94.82112803131008,53.70193847245581,88.70371785720825,21.148356054912945,13.226992143919297,6.59294514334337,14.272187886627172,59.98982236978652,88.70773575162886,90.44338634285535,22.038840224850286,62.16900575085896]","[53.816751578038684,23.910025928968714,89.87105224345085,6.542606393431318,87.49798329442002,69.92823531449886,104.43830064767162,18.598946270497255,6.422848243013608,-16.761690650943127,19.860909453460614,69.79796907607293,96.31169439947725,90.68183882036884,11.25656745430145,72.17076698864851]"
