author,auto,chosen.values,rejected.values
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[10,45,24,27,89,1,7,30,6,66,48,95,55,69,17,47]","[49,68,17,29,85,18,35,55,67,52,46,84,82,98,19,64]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[10,45,24,27,89,1,7,30,6,66,48,95,55,69,17,47]","[3.1313331986832775,22.192214664665762,16.329121744935698,18.59344955895662,77.89073769014836,-7.64464709922254,2.1075127842736965,25.62231316002447,9.008480224070032,71.6712757103188,45.941928496611844,103.61382813827973,45.58339577128037,82.17984122580349,27.350160823694754,50.82422471919402]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[10,45,24,27,89,1,7,30,6,66,48,95,55,69,17,47]","[10.820122770825256,51.46120069302326,39.55672483835357,21.511166027270857,100.68502266330579,6.029127700701071,0.26809594012581694,35.34049596285624,1.0044110586444353,61.271145551111154,48.2959977990202,91.41904336100878,40.82232587991484,88.94543117935137,34.25826250347957,60.44174968852714]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[10,45,24,27,89,1,7,30,6,66,48,95,55,69,17,47]","[8.269153050339767,51.526946593570116,12.57474542490623,22.65984106437432,103.71820918088574,4.958836903758291,-6.998465609675817,38.099434771409264,30.17347766843048,69.28538220961235,44.33381061578009,91.45919343061794,57.57711480942752,81.41933277795997,3.733711951489937,48.8093586924655]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[10,45,24,27,89,1,7,30,6,66,48,95,55,69,17,47]","[19.96369462614016,33.21981373452407,26.63725566169053,35.88126181577318,90.57749916359357,-10.122554825935527,20.27306857160477,21.494521262703067,6.46748686727511,68.9681232416676,59.48308614419864,79.7995519714114,62.75106623749724,82.0991481958258,10.756175194292842,66.43057866817325]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),true,"[10,45,24,27,89,1,7,30,6,66,48,95,55,69,17,47]","[14.490393596277652,31.845781152411302,19.65401169905373,24.838416170867667,88.7255529339037,-6.153821402258663,24.579092616622503,44.874041843352046,-9.657468032288284,64.75429506529022,34.24971950343955,86.73955590934762,41.88148594794446,66.9866703440479,9.38224780256807,50.85866668182294]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[13.489245490234133,33.610226901329085,16.902144293198187,33.18902193682325,68.85284870192098,13.078294270015666,19.16366027645838,10.360110002563708,8.102148960212995,74.60315416671558,55.85190538375715,90.71017565378138,36.494803403968824,71.97369152243873,17.983905955649696,50.33534474525135]","[10,45,24,27,89,1,7,30,6,66,48,95,55,69,17,47]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[23.465886132723732,31.044138109937933,29.542466577350805,31.265140777026247,48.22747122590056,16.252276984976326,25.708100012743248,20.399787152894575,4.994516813267288,68.50437228248504,64.52228938515333,90.47404495703174,43.25190160129838,71.99677074989512,21.879825697712086,55.79926936618931]","[13.489245490234133,33.610226901329085,16.902144293198187,33.18902193682325,68.85284870192098,13.078294270015666,19.16366027645838,10.360110002563708,8.102148960212995,74.60315416671558,55.85190538375715,90.71017565378138,36.494803403968824,71.97369152243873,17.983905955649696,50.33534474525135]"
Fri Mar 12 2021 11:51:39 GMT+0000 (Greenwich Mean Time),false,"[23.262122262880144,32.59667706949221,32.65129719384912,31.955366656875388,59.671560521364654,1.2259435733016346,43.093123266731226,37.23195427438259,12.994011306136937,63.87184109737959,61.251242787699766,88.54442992336676,29.853592395187952,65.7175171059843,9.7069303513037,38.26512471173495]","[23.465886132723732,31.044138109937933,29.542466577350805,31.265140777026247,48.22747122590056,16.252276984976326,25.708100012743248,20.399787152894575,4.994516813267288,68.50437228248504,64.52228938515333,90.47404495703174,43.25190160129838,71.99677074989512,21.879825697712086,55.79926936618931]"
Fri Mar 12 2021 12:03:44 GMT+0000 (Greenwich Mean Time),false,"[27.73561359929372,25.99166857890213,27.94217553731594,33.710594511546674,56.30113784497824,1.5938247146857112,38.15860671110113,57.55228312534858,7.147381426927879,61.49250881950211,50.069695313582045,57.93973446460123,39.89342320157584,36.35146261366525,4.612558176597976,21.953273457845633]","[23.262122262880144,32.59667706949221,32.65129719384912,31.955366656875388,59.671560521364654,1.2259435733016346,43.093123266731226,37.23195427438259,12.994011306136937,63.87184109737959,61.251242787699766,88.54442992336676,29.853592395187952,65.7175171059843,9.7069303513037,38.26512471173495]"
